,xinxi,cutted_xinxi
646, 金色雅筑北苑经常因为水管爆裂造成停水，一个月内5、6处漏水，一个月有半个月停水维修状态，给我们的生活带来极大的不便。自来水公司、地产公司拒绝彻底维修，物业维修只能进行救火性维修。  业主们多处求援，均未得到解决问题有效答复，多位业主向政民零距离投诉，居委会调查结果反馈说物业会积极沟通，但是如果物业能解决也不会拖到现在严重影响我们生活，不能解决根本问题，请政府领导出面解决我们生计问题。,  金色 雅筑 北苑 经常 因为 水管 爆裂 造成 停水 ， 一个月 内 5 、 6 处 漏水 ， 一个月 有 半个 月 停水 维修 状态 ， 给 我们 的 生活 带来 极大 的 不便 。 自来水 公司 、 地产 公司 拒绝 彻底 维修 ， 物业 维修 只能 进行 救火 性 维修 。     业主 们 多处 求援 ， 均 未 得到 解决问题 有效 答复 ， 多位 业主 向政民 零距离 投诉 ， 居委会 调查结果 反馈 说 物业 会 积极 沟通 ， 但是 如果 物业 能 解决 也 不会 拖 到 现在 严重 影响 我们 生活 ， 不能 解决 根本 问题 ， 请 政府 领导 出面 解决 我们 生计 问题 。
647,和瑞园小区是南市拆迁还迁房，管理归属和平区大都会，但是管理责任落实不到位，物业无作为，小区内环境脏乱差并且消防安全隐患严重。居民楼里到处都是涂鸦、小广告成患，楼道里随意堆放杂物，电梯也残破不堪且经常遭到破坏，消防通道长期被占，曾经就发生过火情但是消防车进不来的情况，废品收购长期占用地下车库，并在小区内随意堆放废旧物品，影响环境也有消防隐患，小区内发生过多起入室盗窃。小区居民怨声载道，希望相关部门能对我们小区的管理进行有效的整治，还居民一个洁净安全的生存空间。,和 瑞园 小区 是 南市 拆迁 还 迁房 ， 管理 归属 和平区 大都会 ， 但是 管理 责任 落实 不 到位 ， 物业 无 作为 ， 小 区内 环境 脏乱差 并且 消防安全 隐患 严重 。 居民楼 里 到处 都 是 涂鸦 、 小 广告 成患 ， 楼道 里 随意 堆放 杂物 ， 电梯 也 残破 不堪 且 经常 遭到 破坏 ， 消防通道 长期 被 占 ， 曾经 就 发生 过 火情 但是 消防车 进不来 的 情况 ， 废品收购 长期 占用 地下 车库 ， 并 在 小 区内 随意 堆放 废旧 物品 ， 影响 环境 也 有 消防 隐患 ， 小 区内 发生 过多起 入室 盗窃 。 小区 居民 怨声载道 ， 希望 相关 部门 能 对 我们 小区 的 管理 进行 有效 的 整治 ， 还 居民 一个 洁净 安全 的 生存空间 。
648,河北区润园里小区物业与业主因停车位收费问题产生矛盾，之前已有过物业设栏杆不让业主开车进小区导致业主只能堵在外面，出不来进不去的状况，由于报警才解决。但是现在矛盾还存在，小区位于河北区主干道路金钟河大街上，如常发生堵门时间影响交通影响其他人，希望能协商解决。,河北区 润 园里 小区 物业 与 业主 因 停车位 收费 问题 产生矛盾 ， 之前 已有 过 物业 设 栏杆 不让 业主 开车 进 小区 导致 业主 只能 堵 在 外面 ， 出不来 进不去 的 状况 ， 由于 报警 才 解决 。 但是 现在 矛盾 还 存在 ， 小区 位于 河北区 主干 道路 金钟 河 大街 上 ， 如常 发生 堵门 时间 影响 交通 影响 其他人 ， 希望 能 协商 解决 。
649,现在各区每条马路小黄车随意摆放太严重 对社会交通照成严重影响 更有摆在路中间 望有关部门给予处理,现在 各区 每条 马路 小 黄车 随意 摆放 太 严重   对 社会 交通 照成 严重 影响   更 有 摆在 路 中间   望 有关 部门 给予 处理
650,靖江路附近摆摊,靖江 路 附近 摆摊
651,常州道乱摆摊严重,常州 道 乱 摆摊 严重
652,隧道、立交桥、快速路等很多路段禁止非机动车通行。然而，这些地方却成了共享单车停车场。调查中发现，大部分停错地方的共享单车为摩拜和ofo品牌。望有关部门治理,隧道 、 立交桥 、 快速路 等 很多 路段 禁止 非机动车 通行 。 然而 ， 这些 地方 却成 了 共享 单车 停车场 。 调查 中 发现 ， 大部分 停错 地方 的 共享 单车 为摩拜 和 ofo 品牌 。 望 有关 部门 治理
653,栖仙公寓中区16号楼楼道内私拉电线用于电动车充电，楼道内存放自行车，电动车，纸板，巨型广告牌，并且不是本楼门住户的自行车，电动车也是经常存放，致使楼道内拥挤不堪。楼道内拥挤不堪，杂乱无章，都可以忍受。但私拉电线行为涉及到人员安全问题，本楼楼龄已高，电线已严重老化，私拉电线行为极易引起火灾，造成人员伤亡，若真有隐患发生，不是影响到一个家庭，两个家庭，而是整栋楼的各个家庭，请领导们责成物业部门进行排查整治，还老百姓一个放心，安心，安全的居住环境。并且天津市武清区人民政府于2017年11月17日已下达“公安武清分局开展居民住宅消防安全排查整治工作”通知书（见附件），请领导们责令相关部门严格执行。,栖仙 公寓 中区 16 号楼 楼道 内私 拉 电线 用于 电动车 充电 ， 楼道 内 存放 自行车 ， 电动车 ， 纸板 ， 巨型 广告牌 ， 并且 不是 本 楼门 住户 的 自行车 ， 电动车 也 是 经常 存放 ， 致使 楼道 内 拥挤不堪 。 楼道 内 拥挤不堪 ， 杂乱无章 ， 都 可以 忍受 。 但 私拉 电线 行为 涉及 到 人员 安全 问题 ， 本楼 楼龄 已高 ， 电线 已 严重 老化 ， 私拉 电线 行为 极易 引起 火灾 ， 造成 人员伤亡 ， 若真 有 隐患 发生 ， 不是 影响 到 一个 家庭 ， 两个 家庭 ， 而是 整栋 楼 的 各个 家庭 ， 请 领导 们 责成 物业 部门 进行 排查 整治 ， 还 老百姓 一个 放心 ， 安心 ， 安全 的 居住 环境 。 并且 天津市 武清区 人民政府 于 2017 年 11 月 17 日 已 下达 “ 公安 武清 分局 开展 居民 住宅 消防安全 排查 整治 工作 ” 通知书 （ 见 附件 ） ， 请 领导 们 责令 相关 部门 严格执行 。
654,河西区大沽南路与南北大街交口工商银行侧路面上有一个深坑，坑里有两个井，坑底下是地铁一号线，感觉被周围工地大货车压的吧，这坑出现有几天了，还希望路政等相关部门维护一下吧，别再塌陷，伤害过路行人车辆安全。,河西区 大沽 南路 与 南北 大街 交口 工商银行 侧 路面 上 有 一个 深坑 ， 坑里 有 两个 井 ， 坑 底下 是 地铁 一号线 ， 感觉 被 周围 工地 大 货车 压 的 吧 ， 这坑 出现 有 几天 了 ， 还 希望 路政 等 相关 部门 维护 一下 吧 ， 别 再 塌陷 ， 伤害 过路 行人 车辆 安全 。
655,河西区大沽南路与南北大街交口工商银行侧路面上有一个深坑，坑里有两个井，坑底下是地铁一号线，感觉被周围工地大货车压的吧，这坑出现有几天了，希望路政等相关部门加强维护，别再塌陷，否则会对路行人车辆造成安全隐患。,河西区 大沽 南路 与 南北 大街 交口 工商银行 侧 路面 上 有 一个 深坑 ， 坑里 有 两个 井 ， 坑 底下 是 地铁 一号线 ， 感觉 被 周围 工地 大 货车 压 的 吧 ， 这坑 出现 有 几天 了 ， 希望 路政 等 相关 部门 加强 维护 ， 别 再 塌陷 ， 否则 会 对 路 行人 车辆 造成 安全隐患 。
656,每天早上上班要经过，津汉公路和锦华道交口，只要红灯一亮就会有无数散发广告卡片的人冒出来，左右两路以夹击形式往玻璃窗上塞广告卡片，鸣笛制止都不管。 ???给过往车辆行人造成安全隐患。,每天 早上 上班 要 经过 ， 津汉 公路 和 锦华 道 交口 ， 只要 红灯 一亮 就 会 有 无数 散发 广告 卡片 的 人 冒出来 ， 左右两路 以 夹击 形式 往 玻璃窗 上塞 广告 卡片 ， 鸣笛 制止 都 不管 。   ? ? ? 给 过往 车辆 行人 造成 安全隐患 。
657,天津市河东区大直沽10号路路段中央有一牌摊，经常有人进行赌博活动，望有关部门进行治理。,天津市 河东区 大直 沽 10 号路 路段 中央 有 一牌 摊 ， 经常 有人 进行 赌博 活动 ， 望 有关 部门 进行 治理 。
658,天津市河东区大直沽10号路路段中央有一牌摊，经常有人进行赌博活动，望有关部门进行治理,天津市 河东区 大直 沽 10 号路 路段 中央 有 一牌 摊 ， 经常 有人 进行 赌博 活动 ， 望 有关 部门 进行 治理
659,据群众反应，在人民医院后身看到医院人员在河水里清洗担架，非常不卫生，污染河水，希望有关部门进行处理。,据 群众 反应 ， 在 人民 医院 后 身 看到 医院 人员 在 河水 里 清洗 担架 ， 非常 不 卫生 ， 污染 河水 ， 希望 有关 部门 进行 处理 。
660,天津工业大学附近，经常出现一个男子以低价卖苹果手机，然后在把手机模型给顾客，来进行欺骗消费者，该男子带灰色毛线帽，身穿黑色大衣，希望有关部门进行处理。,天津工业大学 附近 ， 经常出现 一个 男子 以 低价 卖 苹果 手机 ， 然后 在 把 手机 模型 给 顾客 ， 来 进行 欺骗 消费者 ， 该 男子 带 灰色 毛线帽 ， 身穿 黑色 大衣 ， 希望 有关 部门 进行 处理 。
661,  老龙头菜市场与月光园之间那条道路破损严重，一段小路几处破损，路上形成了很多大坑，严重影响小区车辆的出行。另，新兆路与老龙头之间的小路，变成了停车场，严重影响小区车辆出入。希望相关单位能够解决上述两项问题。,    老龙头 菜市场 与 月光 园 之间 那条 道路 破损 严重 ， 一段 小路 几处 破损 ， 路上 形成 了 很多 大坑 ， 严重 影响 小区 车辆 的 出行 。 另 ， 新兆路 与 老龙头 之间 的 小路 ， 变成 了 停车场 ， 严重 影响 小区 车辆 出入 。 希望 相关 单位 能够 解决 上述 两项 问题 。
662, 您好，位于天津河东卫国道华润万家旁边的天桥地面修的有问题，一到冬天地面太滑，每天上班走那个天桥都提心吊胆，在往地铁二号线方向，最下面的两个台阶就是防滑的材料，建议有关部门能不能把整个天桥的地面弄成防滑的，每天早上上班的人走这个天桥的人太多了，多谢了！,  您好 ， 位于 天津 河东 卫国 道 华润 万家 旁边 的 天桥 地面 修 的 有 问题 ， 一到 冬天 地面 太滑 ， 每天 上班 走 那个 天桥 都 提心吊胆 ， 在 往 地铁 二号线 方向 ， 最 下面 的 两个 台阶 就是 防滑 的 材料 ， 建议 有关 部门 能 不能 把 整个 天桥 的 地面 弄 成 防滑 的 ， 每天 早上 上班 的 人 走 这个 天桥 的 人太多 了 ， 多谢 了 ！
663,  天津南开区华育里底商私搭乱盖了好多处房子，用于存放杂物、厕所、厨房。这些底商都是经营餐饮的，可是后面的卫生条件非常脏乱，臭味熏天，影响市容，希望有关部门能够治理。,    天津 南开区 华育里底 商私 搭 乱盖 了 好 多处 房子 ， 用于 存放 杂物 、 厕所 、 厨房 。 这些 底 商都 是 经营 餐饮 的 ， 可是 后面 的 卫生条件 非常 脏乱 ， 臭味 熏天 ， 影响 市容 ， 希望 有关 部门 能够 治理 。
664,天津河东区团结北里小区内圈占楼前、楼后供有地面为己用，私搭烂建问题越来越严重。现在小区内已经找不到那一栋楼没有被占用的现象，有的楼除了楼门基本上已经全部占用。圈占的用途多种多样，有用于放车的、种菜的、聚餐打牌场地的、放杂物的、后花园的等等，总之种类繁多。希望有关部门能够清理。,天津 河东区 团结 北里 小 区内 圈占 楼前 、 楼后 供 有 地面 为己 用 ， 私搭烂建 问题 越来越 严重 。 现在 小 区内 已经 找 不到 那 一栋 楼 没有 被 占用 的 现象 ， 有 的 楼 除了 楼门 基本上 已经 全部 占用 。 圈占 的 用途 多种多样 ， 有 用于 放车 的 、 种菜 的 、 聚餐 打牌 场地 的 、 放 杂物 的 、 后花园 的 等等 ， 总之 种类 繁多 。 希望 有关 部门 能够 清理 。
665, 梅江地区环岛西路与浯水道交口每天早高峰拥堵严重，因周围有南开翔宇中学，早上车辆在路口乱行，出行十分不便,  梅江 地区 环岛 西路 与 浯 水道 交口 每天 早 高峰 拥堵 严重 ， 因 周围 有 南开 翔宇 中学 ， 早上 车辆 在 路口 乱 行 ， 出行 十分 不便
666,???东丽区秋悦家旁高压走廊下有一片空地，居民入住5年多了还是一片荒地，杂草丛生，冬季更是隐患重重，现在又有李明庄村往里倒建筑垃圾，而且不加苫盖，风天尘土飞扬，望有关部门介入调查解决为盼！,? ? ? 东丽区 秋悦家 旁 高压 走廊 下 有 一片 空地 ， 居民 入住 5 年 多 了 还是 一片 荒地 ， 杂草丛生 ， 冬季 更是 隐患 重重 ， 现在 又 有 李明 庄村 往里 倒 建筑 垃圾 ， 而且 不 加 苫盖 ， 风 天 尘土飞扬 ， 望 有关 部门 介入 调查 解决 为 盼 ！
667,河北区金钟河大街路口，每次红灯时就有往等待的机动车上发放广告的人员，等变绿灯时再跑到路边，十分危险，而且影响十分不好，望赶紧整治这群人员。,河北区 金钟 河 大街 路口 ， 每次 红灯 时 就 有 往 等待 的 机动车 上 发放 广告 的 人员 ， 等 变 绿灯 时 再 跑 到 路边 ， 十分 危险 ， 而且 影响 十分 不好 ， 望 赶紧 整治 这群 人员 。
